Severity,Start_Lat,Start_Lng,Street,City,County,State,Zipcode,Timezone,Airport_Code,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Clear,Cloud,Rain,Heavy_Rain,Snow,Heavy_Snow,Fog,Year,Month,Day,Hour,Minute,Precipitation_NA
2,38.649061,-121.355176, Orange Grove Ave,Sacramento,Sacramento,CA,95841-4151,US/Pacific,KMCC,66.0,60.0,29.88,10.0,SW,10.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2022,6,30,9,580.0,0
3,35.24375900000001,-80.84734300000002,Brookshire Fwy E,Charlotte,Mecklenburg,NC,28206,US/Eastern,KCLT,53.0,59.0,29.19,10.0,S,8.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,True,False,False,False,False,False,2021,1,13,16,997.0,0
2,34.05782,-117.169739,I-10 E,Redlands,San Bernardino,CA,92374,US/Pacific,KSBD,41.0,81.0,28.74,5.0,E,3.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,True,False,False,False,False,2023,2,23,14,899.0,0
1,39.834862,-86.15927099999998,N Illinois St,Indianapolis,Marion,IN,46208-3727,US/Eastern,KEYE,71.0,73.0,29.09,10.0,W,8.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,False,False,False,False,False,False,False,2022,7,13,5,303.0,0
3,39.123913,-77.17778,I-370,Gaithersburg,Montgomery,MD,20877,US/Eastern,KGAI,75.0,84.0,29.34,10.0,W,7.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,True,False,False,False,False,False,2022,7,19,8,523.0,0
3,43.03208,-87.95458,I-94 E,Milwaukee,Milwaukee,WI,53208,US/Central,KMWC,46.0,53.0,29.33,10.0,E,9.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,Day,Day,Day,Day,False,True,False,False,False,False,False,2020,3,23,16,1005.0,0
3,39.73137,-105.01572,US-87 S,Denver,Denver,CO,80204,US/Mountain,KBJC,55.0,36.0,24.52,10.0,NW,8.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,False,True,False,False,False,False,False,2020,5,10,20,1210.0,0
4,40.679238,-75.337161,US-22 W,Bethlehem,Northampton,PA,18020,US/Eastern,KABE,78.0,37.0,29.46,10.0,SW,16.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2021,9,27,15,932.0,0
2,29.922073,-90.016494, General Degaulle Dr,New Orleans,Orleans,LA,70114-8221,US/Pacific,KAUD,85.0,72.0,29.97,10.0,S,9.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,True,False,False,False,False,False,2022,5,31,15,918.0,0
2,32.904861,-80.092667,Shagbark Trl,North Charleston,Dorchester,SC,29418-2049,US/Eastern,KCHS,45.0,53.0,30.45,10.0,N,12.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2020,11,18,7,464.0,0
2,33.823355,-84.355005,GA-403 S,Atlanta,Fulton,GA,30324,US/Eastern,KPDK,61.0,36.0,29.08,10.0,W,8.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2021,11,30,13,791.0,0
3,35.787673999999996,-80.30524399999999,Green Needles Dr,Lexington,Davidson,NC,27292,US/Eastern,KEXX,74.1,63.0,30.08,10.0,CALM,7.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,True,False,False,False,False,False,2017,11,3,17,1066.0,1
3,30.314253000000004,-81.653725,I-95,Jacksonville,Duval,FL,32207,US/Eastern,KNIP,68.0,73.0,29.99,10.0,N,10.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,True,False,False,False,False,False,2022,4,1,10,605.0,0
1,28.03293,-82.45954,N Florida Ave,Tampa,Hillsborough,FL,33612,US/Eastern,KVDF,86.0,79.0,30.06,10.0,NE,6.0,0.0,False,False,True,False,False,False,True,False,False,False,False,True,Day,Day,Day,Day,False,False,False,False,False,False,False,2020,6,1,10,648.0,0
4,40.790868,-77.70465300000002, Summer Ln,Centre Hall,Centre,PA,16828-8975,US/Eastern,KUNV,64.0,76.0,28.76,10.0,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,False,True,False,False,False,False,False,2021,8,4,2,144.0,0
2,33.853962,-117.924344,Harbor Blvd,Anaheim,Orange,CA,92801,US/Pacific,KFUL,70.0,71.0,29.83,10.0,W,6.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,Day,Day,Day,Day,False,False,False,False,False,False,False,2021,8,24,9,550.0,0
4,44.95216,-93.06963, Mounds Blvd,Saint Paul,Ramsey,MN,55106-6323,US/Central,KSTP,72.0,61.0,29.96,10.0,NE,12.7,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,True,False,False,False,False,False,False,2017,7,23,19,1168.0,1
4,35.072720000000004,-106.572955, Zuni Rd SE,Albuquerque,Bernalillo,NM,87108-3120,US/Mountain,KABQ,69.1,15.0,29.83,10.0,S,6.9,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,True,False,False,False,False,False,False,2017,4,18,22,1333.0,1
1,36.152821,-86.82418100000002,33rd Ave N,Nashville,Davidson,TN,37209-3949,US/Central,KBNA,56.0,80.0,29.41,10.0,E,6.0,0.0,False,False,True,False,False,False,False,False,True,False,False,False,Night,Day,Day,Day,False,True,False,False,False,False,False,2022,5,5,5,343.0,0
2,29.4679820536162,-98.6173260207242,TX-16,San Antonio,Bexar,TX,78238,US/Central,KSKF,83.0,26.0,29.08,10.0,S,6.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2021,3,15,15,956.0,0
1,34.773209,-82.420158,Kenmore Dr,Piedmont,Greenville,SC,29673-8787,US/Eastern,KGYH,75.0,85.0,28.97,10.0,W,7.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,False,False,False,False,False,False,False,2022,7,22,4,242.0,0
1,35.901825,-78.79053499999998,Lumley Rd,Morrisville,Wake,NC,27560,US/Eastern,KRDU,82.0,79.0,29.67,10.0,SW,13.0,0.0,False,False,True,False,False,False,False,False,False,False,False,True,Day,Day,Day,Day,False,True,False,False,False,False,False,2022,7,26,8,505.0,0
2,36.053909,-86.898651,Vaughn Rd,Nashville,Davidson,TN,37221,US/Central,KBNA,45.0,71.0,29.36,10.0,CALM,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2022,3,11,7,475.0,0
4,46.949877,-119.961885,I-90 W,Royal City,Grant,WA,99357,US/Pacific,KHMS,58.0,31.0,28.8,10.0,NW,8.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,True,False,False,False,False,False,2017,4,27,12,732.0,0
3,33.7745,-118.06948,I-405 N,Seal Beach,Orange,CA,90740,US/Pacific,KSLI,77.4,30.0,29.94,9.0,W,9.2,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,True,False,False,False,False,False,2016,9,23,17,1068.0,1
4,44.12483,-116.903884, Highway 95,Payette,Payette,ID,83661,US/Mountain,KONO,63.0,58.0,29.95,10.0,CALM,7.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,True,False,False,False,False,False,False,2016,8,30,8,503.0,1
1,37.240082,-121.91301,Harwood Rd,San Jose,Santa Clara,CA,95124-5712,US/Pacific,KSJC,76.0,31.0,29.86,10.0,S,18.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2022,6,22,8,509.0,0
4,33.421,-112.292107, W Lower Buckeye Rd,Tolleson,Maricopa,AZ,85353-9449,US/Mountain,KGEU,93.2,5.0,29.85,10.0,S,8.1,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,True,False,False,False,False,False,2018,4,23,17,1069.0,1
