Severity,Start_Lat,Start_Lng,Street,City,County,State,Zipcode,Timezone,Airport_Code,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Clear,Cloud,Rain,Heavy_Rain,Snow,Heavy_Snow,Fog,Year,Month,Weekday,Hour
3,32.61421,-96.69076,I-45 S,Wilmer,Dallas,TX,75172,US/Central,KLNC,94.0,39.0,29.51,10.0,SE,15.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,Day,Day,Day,Day,False,True,False,False,False,False,False,2019,9,1,15
3,34.168678,-86.874382,I-65 N,Cullman,Cullman,AL,35055,US/Central,K3A1,50.0,89.0,29.18,10.0,N,7.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,False,True,False,False,False,False,False,2018,11,4,6
1,38.85752,-77.37295,I-66 W,Fairfax,Fairfax County,VA,22033,US/Eastern,KIAD,53.0,50.0,30.01,10.0,S,8.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,True,False,False,False,False,False,2020,3,2,19
4,34.442874,-91.632826, Highway 79 S,Humphrey,Arkansas,AR,72073,US/Central,KSGT,48.0,46.0,30.15,10.0,NE,13.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2022,12,1,15
1,33.44993,-112.2898, N 107th Ave,Tolleson,Maricopa,AZ,85353,US/Mountain,KGEU,92.0,9.0,28.64,10.0,NW,8.0,0.0,False,False,True,False,False,False,False,False,False,False,False,True,Night,Night,Day,Day,False,False,False,False,False,False,False,2020,4,4,19
2,34.149429,-117.235965,E Marshall Blvd,San Bernardino,San Bernardino,CA,92404,US/Pacific,KSBD,90.0,27.0,28.78,10.0,W,3.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2022,8,0,10
2,38.700877,-76.986866,Indian Head Hwy,Fort Washington,Prince George's,MD,20744,US/Eastern,KDCA,36.0,52.0,30.28,10.0,N,8.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,False,False,False,False,False,False,False,2022,12,1,19
2,35.220112,-80.841957,S Davidson St,Charlotte,Mecklenburg,NC,28202-2822,US/Eastern,KCLT,44.1,96.0,30.24,2.5,NE,10.4,0.06,False,False,True,False,False,False,False,False,False,False,False,True,Day,Day,Day,Day,False,False,True,False,False,False,False,2018,12,4,9
3,41.688854,-87.599937,Bishop Ford Fwy W,Chicago,Cook,IL,60628,US/Central,KMDW,76.0,42.0,29.44,10.0,E,12.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,True,False,False,False,False,False,2019,8,6,12
3,38.876614,-77.2761,I-66 E,Fairfax,Fairfax County,VA,22031,US/Eastern,KDAA,93.0,54.0,29.84,10.0,S,6.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,False,False,False,False,False,False,False,2022,8,1,18
